fuel_type,country,market
coal,AD,Northwest_Europe
coal,AE,Australia
coal,AF,South_Africa
coal,AL,Northwest_Europe
coal,AM,Northwest_Europe
coal,AO,South_Africa
coal,AR,Colombia
coal,AT,Northwest_Europe
coal,AU,Australia
coal,AZ,Northwest_Europe
coal,BA,Northwest_Europe
coal,BD,South_China
coal,BE,Northwest_Europe
coal,BF,South_Africa
coal,BG,Northwest_Europe
coal,BH,Australia
coal,BI,South_Africa
coal,BJ,South_Africa
coal,BN,South_China
coal,BO,Colombia
coal,BR,Colombia
coal,BS,Colombia
coal,BT,South_China
coal,BW,South_Africa
coal,BY,Northwest_Europe
coal,BZ,Colombia
coal,CA,United_States
coal,CD,South_Africa
coal,CF,South_Africa
coal,CG,South_Africa
coal,CH,Northwest_Europe
coal,CI,South_Africa
coal,CL,Colombia
coal,CM,South_Africa
coal,CN,United_States
coal,CO,Colombia
coal,CR,Colombia
coal,CU,Colombia
coal,CY,Northwest_Europe
coal,CZ,Northwest_Europe
coal,DE,Northwest_Europe
coal,DJ,South_Africa
coal,DK,Northwest_Europe
coal,DO,Colombia
coal,DZ,Northwest_Europe
coal,EC,Colombia
coal,EE,Northwest_Europe
coal,EG,Northwest_Europe
coal,EH,Northwest_Europe
coal,ER,South_Africa
coal,ES,Northwest_Europe
coal,ET,South_Africa
coal,FI,Northwest_Europe
coal,FR,Northwest_Europe
coal,GA,South_Africa
coal,GB,Northwest_Europe
coal,GE,Northwest_Europe
coal,GF,Colombia
coal,GH,South_Africa
coal,GL,Northwest_Europe
coal,GM,South_Africa
coal,GN,South_Africa
coal,GQ,South_Africa
coal,GR,Northwest_Europe
coal,GT,Colombia
coal,GW,South_Africa
coal,GY,Colombia
coal,HN,Colombia
coal,HR,Northwest_Europe
coal,HT,Colombia
coal,HU,Northwest_Europe
coal,ID,South_China
coal,IE,Northwest_Europe
coal,IL,Northwest_Europe
coal,IN,United_States
coal,IQ,Australia
coal,IR,South_China
coal,IS,Northwest_Europe
coal,IT,Northwest_Europe
coal,JM,Colombia
coal,JO,Northwest_Europe
coal,JP,United_States
coal,KE,South_Africa
coal,KG,South_China
coal,KH,South_China
coal,KP,South_China
coal,KR,South_China
coal,KW,Australia
coal,KZ,South_China
coal,LA,South_China
coal,LB,Northwest_Europe
coal,LK,South_China
coal,LR,South_Africa
coal,LS,South_Africa
coal,LT,Northwest_Europe
coal,LU,Northwest_Europe
coal,LV,Northwest_Europe
coal,LY,Northwest_Europe
coal,MA,Northwest_Europe
coal,MD,Northwest_Europe
coal,ME,Northwest_Europe
coal,MG,South_Africa
coal,MK,Northwest_Europe
coal,ML,South_Africa
coal,MM,South_China
coal,MN,South_China
coal,MR,South_Africa
coal,MT,Northwest_Europe
coal,MW,South_Africa
coal,MX,United_States
coal,MY,South_China
coal,MZ,South_Africa
coal,NA,South_Africa
coal,NE,South_Africa
coal,NG,South_Africa
coal,NI,Colombia
coal,NL,Northwest_Europe
coal,NO,Northwest_Europe
coal,NP,South_China
coal,NZ,Australia
coal,OM,Australia
coal,PA,Colombia
coal,PE,Colombia
coal,PG,Australia
coal,PH,South_China
coal,PK,South_China
coal,PL,Northwest_Europe
coal,PR,Colombia
coal,PS,Northwest_Europe
coal,PT,Northwest_Europe
coal,PY,Colombia
coal,QA,Australia
coal,RO,Northwest_Europe
coal,RS,Northwest_Europe
coal,RU,Northwest_Europe
coal,RW,South_Africa
coal,SA,Australia
coal,SB,Australia
coal,SD,South_Africa
coal,SE,Northwest_Europe
coal,SG,South_China
coal,SI,Northwest_Europe
coal,SK,Northwest_Europe
coal,SL,South_Africa
coal,SN,South_Africa
coal,SO,South_Africa
coal,SR,Colombia
coal,SS,South_Africa
coal,SV,Colombia
coal,SY,Northwest_Europe
coal,SZ,South_Africa
coal,TD,South_Africa
coal,TG,South_Africa
coal,TH,South_China
coal,TJ,South_China
coal,TL,South_China
coal,TM,South_China
coal,TN,Northwest_Europe
coal,TR,Northwest_Europe
coal,TT,Colombia
coal,TW,South_China
coal,TZ,South_Africa
coal,UA,Northwest_Europe
coal,UG,South_Africa
coal,US,United_States
coal,UY,Colombia
coal,UZ,South_China
coal,VE,Colombia
coal,VN,South_China
coal,XK,Northwest_Europe
coal,YE,South_China
coal,ZA,South_Africa
coal,ZM,South_Africa
coal,ZW,South_Africa
gas,AD,Netherlands_TTF
gas,AE,Henry_Hub
gas,AF,UK_NBP
gas,AL,Netherlands_TTF
gas,AM,UK_NBP
gas,AO,Henry_Hub
gas,AR,Henry_Hub
gas,AT,Netherlands_TTF
gas,AU,Henry_Hub
gas,AZ,Henry_Hub
gas,BA,Netherlands_TTF
gas,BD,UK_NBP
gas,BE,Zeebrugge
gas,BF,Henry_Hub
gas,BG,Netherlands_TTF
gas,BH,Henry_Hub
gas,BI,Henry_Hub
gas,BJ,Henry_Hub
gas,BN,Henry_Hub
gas,BO,Henry_Hub
gas,BR,Henry_Hub
gas,BS,Henry_Hub
