year,c_overnight,technology,unit,source_kind,scenario,interpolation,weighting_method,report_year_used
2030,130.27462455220754,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2024
2031,115.80503002303045,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2024
2032,102.94257246744631,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2024
2033,91.50874728073511,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2024
2034,81.34487635363416,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2024
2035,72.30990594470822,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2036,84.89159100344308,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2037,99.66244775102292,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2038,117.0033848384643,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2039,137.36158776531033,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2040,161.26205083260297,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2041,147.2729517472537,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2042,134.49737371170713,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2043,122.83004666322877,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2044,112.17483246647004,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2045,102.44393274050272,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2046,93.55716540497275,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2047,85.44130398415314,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2048,78.02947422479777,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2049,71.26060305596033,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2020
2050,65.07891535023737,battery_energy,kWh,iea_weo_latest_central,Stated Policies Scenario,log_linear,global_direct,2025
2030,943.5604949709888,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2024
2031,931.3333021444105,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2024
2032,919.2645562273999,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2024
2033,907.3522039749065,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2024
2034,895.5942187489957,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2024
2035,883.988600174058,onwind_power,kW,iea_weo_latest_central,Stated Policies Scenario,log_linear,equal_region_weighted_proxy,2025
